region,total,n,n_below_floor,biggest,clears_breakeven
South Asia,2654101.6149999998,7,2,2081213.4,True
Southeast Asia,1053549.39207,6,2,878928.8,True
West Africa,422239.6382,12,5,226739.02,True
North Africa,351905.488,3,0,181452.2,True
Middle East,268473.065,5,1,164903.27,True
East Africa,186437.9574,7,2,60769.562,True
Central Asia,124013.5123,3,1,67208.336,True
Lat. Am. & Carib.,101933.1517,4,1,51491.54,True
Southern Africa,82547.284,6,3,23443.082,True
Central Africa,72645.71075,3,1,54960.004,True
Pacific,268.91998,1,1,268.91998,False
